pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,pred
12149306,0.013543248176574707,0.013538237661123276,0.013548050075769424,0.8781375288963318,0.013537440448999405,0.013540152460336685,0.013538304716348648,0.013540397398173809,0.01353871263563633,0.01353797223418951,topic3
12946222,0.8730882406234741,0.014100857079029083,0.014102529734373093,0.014104446396231651,0.014097276143729687,0.014099371619522572,0.014108660630881786,0.014099061489105225,0.014100438915193081,0.01409913320094347,topic0
16278384,0.016758877784013748,0.8491896986961365,0.01675637997686863,0.016756918281316757,0.016753897070884705,0.016755688935518265,0.01675989478826523,0.01675598695874214,0.016757907345891,0.01675477996468544,topic1
16806436,0.8786271214485168,0.0134975491091609,0.013483489863574505,0.013480058871209621,0.013477811589837074,0.013493637554347515,0.013483068905770779,0.013491423800587654,0.013484209775924683,0.013481669127941132,topic0
18043973,0.01299027819186449,0.013000581413507462,0.01299271360039711,0.012987575493752956,0.012987866066396236,0.01299335714429617,0.012993483804166317,0.8830656409263611,0.012999257072806358,0.01298925094306469,topic7
18622647,0.016459977254271507,0.016454583033919334,0.016455821692943573,0.016454020515084267,0.016450276598334312,0.016488905996084213,0.016458654776215553,0.016460025683045387,0.85186767578125,0.016450079157948494,topic8
18697562,0.015831727534532547,0.015831531956791878,0.015831084921956062,0.01583334431052208,0.015830857679247856,0.015832392498850822,0.015831071883440018,0.01583258993923664,0.8575136661529541,0.01583174802362919,topic8
19020371,0.012958097271621227,0.41062507033348083,0.01295511145144701,0.01296622771769762,0.012951991520822048,0.012963343411684036,0.27605581283569336,0.22261038422584534,0.012954417616128922,0.012959567829966545,topic1
20664473,0.8702400326728821,0.014416559599339962,0.014418236911296844,0.014418119564652443,0.014416756108403206,0.014418743550777435,0.014417254365980625,0.014419179409742355,0.014419185929000378,0.014415962621569633,topic0
20811712,0.011455993168056011,0.011455864645540714,0.011458327062427998,0.011456023901700974,0.011454958468675613,0.011460491456091404,0.8968833684921265,0.01145875919610262,0.011460401117801666,0.011455819010734558,topic6
21099601,0.014793111011385918,0.01478516310453415,0.014783356338739395,0.014781992882490158,0.014779701828956604,0.01479136198759079,0.8669335246086121,0.01478228997439146,0.014788798987865448,0.014780714176595211,topic6
22733620,0.016002006828784943,0.016002150252461433,0.016002539545297623,0.8559795618057251,0.016001887619495392,0.016002142801880836,0.01600336842238903,0.01600194349884987,0.016002414748072624,0.016001969575881958,topic3
22767417,0.014605808071792126,0.014613852836191654,0.8685529828071594,0.014609401114284992,0.014601345174014568,0.014603877440094948,0.014602161943912506,0.014602416194975376,0.014606276527047157,0.014601889997720718,topic2
23001080,0.014514652080833912,0.014518707059323788,0.014523280784487724,0.014519922435283661,0.014517013914883137,0.014515851624310017,0.014515412040054798,0.014515146613121033,0.8693451881408691,0.014514805749058723,topic8
23414634,0.015547857619822025,0.01554843969643116,0.015546593815088272,0.015542971901595592,0.015543067827820778,0.015545184724032879,0.015543673187494278,0.015544258058071136,0.8600950837135315,0.015542830340564251,topic8
23648460,0.013142482377588749,0.8817128539085388,0.01314515434205532,0.01314060389995575,0.013139637187123299,0.01314297504723072,0.01314292661845684,0.013141852803528309,0.013150983490049839,0.013140560127794743,topic1
24347111,0.017386512830853462,0.01742270030081272,0.8435530662536621,0.017373498529195786,0.01736908219754696,0.017382163554430008,0.017382821068167686,0.01737808808684349,0.01738225854933262,0.017369786277413368,topic2
25395145,0.01497827097773552,0.865239679813385,0.014968549832701683,0.01497125905007124,0.014968891628086567,0.014975844882428646,0.014969911426305771,0.014973408542573452,0.014985206536948681,0.014968949370086193,topic1
25663593,0.011688215658068657,0.011684611439704895,0.011682947166264057,0.011682072654366493,0.011681719683110714,0.8948388695716858,0.0116855064406991,0.011686873622238636,0.011685527861118317,0.01168367825448513,topic5
25698402,0.016928358003497124,0.016918925568461418,0.016925403848290443,0.016926724463701248,0.01692061312496662,0.016932696104049683,0.016919635236263275,0.016950014978647232,0.016948776319622993,0.8476288318634033,topic9
26506400,0.013292369432747364,0.01329351868480444,0.8803665041923523,0.013294135220348835,0.013290186412632465,0.013291316106915474,0.013291477225720882,0.013293439522385597,0.013295793905854225,0.01329126674681902,topic2
26678406,0.012995005585253239,0.012987092137336731,0.012978182174265385,0.012985517270863056,0.8831116557121277,0.012990400195121765,0.012976021505892277,0.012987727299332619,0.013000805862247944,0.012987629510462284,topic4
27932067,0.018676023930311203,0.018684081733226776,0.018680237233638763,0.8319623470306396,0.018642140552401543,0.01865745149552822,0.018664909526705742,0.01869112439453602,0.018699046224355698,0.018642624840140343,topic3
28591173,0.01236047875136137,0.012363502755761147,0.01236196793615818,0.012357288040220737,0.012354111298918724,0.012356292456388474,0.012356354855000973,0.01235654391348362,0.012362251058220863,0.8887711763381958,topic9
28695394,0.013349990360438824,0.013352974317967892,0.013350767083466053,0.01335995178669691,0.01334878895431757,0.013357426039874554,0.013349013403058052,0.8798177242279053,0.013363068923354149,0.013350303284823895,topic7
29713875,0.014341691508889198,0.014325886964797974,0.01434439979493618,0.01433077733963728,0.014326428063213825,0.871004581451416,0.014329412020742893,0.01433618739247322,0.014334337785840034,0.014326267875730991,topic5
29935682,0.01621220074594021,0.016223495826125145,0.01621430367231369,0.01621236279606819,0.016212090849876404,0.8540629744529724,0.016214799135923386,0.016216637566685677,0.01621788926422596,0.016213273629546165,topic5
29948422,0.01275125052779913,0.012756699696183205,0.012751302681863308,0.012749952264130116,0.012749787420034409,0.8852221965789795,0.01275298185646534,0.012754330411553383,0.01276145875453949,0.012750083580613136,topic5
30527480,0.8904386162757874,0.012169496156275272,0.01217462494969368,0.012170427478849888,0.01217008475214243,0.01217607781291008,0.01217104122042656,0.012178028002381325,0.012182063423097134,0.01216952595859766,topic0
31371216,0.018654227256774902,0.018650798127055168,0.01865018904209137,0.01865002140402794,0.018650127574801445,0.01865040510892868,0.0186519343405962,0.8321398496627808,0.018651969730854034,0.01865045353770256,topic7
